Nazwa Gminy; Liczba Hexagonów
Aleksandrów;121
Odrzywół;238
Wieniawa;246
Rudniki;250
Zębowice;232
Dębno;898
Szczurowa;297
Nowy Wiśnicz;190
Łapanów;163
Dąbrowa Zielona;239
Jeziorzany;145
Firlej;296
Kamionka;261
Ostrów Lubelski;278
Serniki;173
Nowogród Bobrzański;693
Wymiarki;164
Kodrąb;254
Zatory;303
Jedlińsk;326
Tarnów Opolski;194
Rzezawa;195
Dąbrowa Tarnowska;261
Milejczyce;361
Drohiczyn;496
Grodzisk;490
Nurzec-Stacja;519
Mietków;203
Sobótka;330
Pełczyce;565
Uścimów;238
Głusk;144
Jastków;251
Wojciechów;181
Borzytuchom;311
Bytów;563
Żytno;457
Sieradz;466
Paprotnia;191
Wiśniew;297
Skórzec;271
Suchożebry;239
Zbuczyn;504
Szczucin;274
Siemiatycze;83
Dąbrowa Białostocka;650
Osina;288
Wólka;167
Krzywda;374
Lipce Reymontowskie;99
Sierpc;383
Szczutowo;288
Ceranów;268
Kosów Lacki;489
Dydnia;281
Sułoszowa;123
Raczki;359
Bądkowo;209
Aleksandrów Kujawski;19
Brodnica;338
Bartniczka;221
Jabłonowo Pomorskie;353
Gryfice;768
Kamień Pomorski;630
Chodel;248
Cedry Wielkie;350
Chmielno;219
Czarnożyły;169
Młodzieszyn;292
Wielka Wieś;113
Mszana Dolna;385
Niedźwiedź;160
Tymbark;70
Kulesze Kościelne;281
Kobylin-Borzymy;295
Osielsko;273
Stare Czarnowo;431
Trzcińsko-Zdrój;477
Opalenica;390
Głogów;220
Sępopol;657
Stargard;138
Dobrzyca;301
Giby;789
Płaska;911
Ustroń;133
Białowieża;488
Krempna;442
Głubczyce;700
Branice;280
Czarny Dunajec;470
Uście Gorlickie;624
Mieroszów;188
Piechowice;108
Zaklików;449
Komprachcice;120
Tułowice;194
Włocławek;218
Alwernia;168
Gozdnica;63
Brusy;1125
Kowale Oleckie;643
Krzykosy;294
Szemud;505
Władysławowo;120
Złocieniec;799
Głogów Małopolski;310
Nowa Słupia;202
Paszowice;249
Nieborów;259
Miastkowo;289
Śniadowo;408
Szumowo;346
Bolimów;277
Chrząstowice;193
Człuchów;34
Wierzchowo;643
Suchy Las;313
Słupia Konecka;249
Gowarczów;233
Łopuszno;412
Lipnik;181
Ćmielów;275
Pawłów;310
Kunów;269
Godkowo;454
Moskorzew;168
Lidzbark Warmiński;37
Ryn;530
Gietrzwałd;466
Olecko;662
Świętajno;720
Dąbrówno;439
Pasym;391
Stawiguda;593
Elbląg;537
Banie Mazurskie;523
Iłowo-Osada;269
Oborniki;916
Kuślin;277
Ryczywół;414
Święciechowa;355
Kobyla Góra;320
Duszniki;426
Ostroróg;223
Kaźmierz;335
Śrem;539
Strzałkowo;370
Kawęczyn;249
Gołańcz;512
Nekla;253
Lipka;524
Złotów;22
Kiszkowo;302
Mycielin;286
Łęka Opatowska;189
Żerków;438
Pogorzela;243
Grodziec;300
Kobylin;287
Gierałtowice;88
Pawonków;288
Łaziska Górne;46
Lubliniec;208
Ciasna;311
Ornontowice;34
Jejkowice;16
Świerklany;57
Kalety;174
Wodzisław Śląski;113
Czernichów;190
Poręba;94
Łodygowice;82
Milówka;219
Świnna;86
Koszarawa;67
Łękawica;98
Łomianki;93
Dzikowiec;271
Majdan Królewski;340
Jasło;75
Książ Wielki;317
Dąbrowa Biskupia;375
Siemień;259
Czemierniki;251
Kartuzy;591
Lipusz;304
Radzanów;251
Białobrzegi;124
Promna;288
Stara Błotnica;230
Wyśmierzyce;251
Regimin;279
Grudusk;249
Korczyna;200
Legnica;140
Niemcza;182
Świeszyno;385
Myślibórz;944
Nowe Warpno;585
Kąkolewnica;345
Dęblin;94
Ułęż;186
Kosakowo;145
Aleksandrów Łódzki;297
Łaskarzew;30
Trojanów;358
Rytro;92
Trawniki;194
Rybczewice;226
Jarczów;235
Smołdzino;772
Słupsk;752
Karniewo;317
Grodzisk Mazowiecki;266
Belsk Duży;260
Szaflary;125
Trzyciąż;221
Oświęcim;166
Bytoń;190
Marianowo;294
Suchań;382
Tyszowce;275
Nielisz;252
Skarszewy;470
Dobre;179
Warka;467
Kęty;169
Tuchów;218
Ciężkowice;223
Polanica-Zdrój;40
Świdwin;65
Reda;92
Gniewino;505
Wejherowo;571
Rumia;87
Kazanów;217
Zwoleń;373
Krzeszów;137
Legnickie Pole;221
Wałcz;102
Trzebiel;440
Piotrków Trybunalski;159
Goworowo;555
Baranowo;502
Łyse;639
Strachówka;267
Marki;66
Kobyłka;50
Tłuszcz;253
Fredropol;341
Kańczuga;226
Wieprz;169
Rudna;546
Lubicz;278
Czernikowo;445
Łubianka;226
Obrowo;426
Leśna Podlaska;232
Kostrzyn nad Odrą;132
Wąsewo;286
Wyszków;411
Wielopole Skrzyńskie;204
Nowinka;507
Sztabin;898
Dębowa Łąka;233
Baruchowo;269
Bytom;159
Lubiszyn;565
Bielawy;411
